Table,Column
cancellations,cancellation_id
cancellations,booking_id
cancellations,cancelled_by
cancellations,cancellation_reason
cancellations,cancellation_note
cancellations,cancelled_at
cancellations,refund_eligible
cancellations,refund_percentage
cancellations,penalty_amount
cancellations,policy_applied
cancellations,created_at
check_ins,check_in_id
check_ins,booking_id
check_ins,guest_id
check_ins,listing_id
check_ins,check_in_method
check_ins,check_in_code
check_ins,actual_check_in_time
check_ins,actual_check_out_time
check_ins,special_requests
check_ins,created_at
check_ins,updated_at
payment_methods,payment_method_id
payment_methods,user_id
payment_methods,method_type
payment_methods,card_last4
payment_methods,card_brand
payment_methods,card_exp_month
payment_methods,card_exp_year
payment_methods,billing_name
payment_methods,billing_country
payment_methods,billing_postal_code
payment_methods,is_default
payment_methods,payment_provider_token
payment_methods,status
payment_methods,created_at
payment_methods,updated_at
payments,payment_id
payments,booking_id
payments,user_id
payments,payment_method_id
payments,amount
payments,currency_code
payments,payment_type
payments,payment_status
payments,payment_provider
payments,transaction_id
payments,payment_intent_id
payments,paid_at
payments,created_at
payments,updated_at
platform_fees,fee_id
platform_fees,payment_id
platform_fees,booking_id
platform_fees,fee_type
platform_fees,fee_name
platform_fees,fee_amount
platform_fees,fee_percentage
platform_fees,currency_code
platform_fees,description
platform_fees,created_at
refunds,refund_id
refunds,payment_id
refunds,cancellation_id
refunds,refund_amount
refunds,currency_code
refunds,refund_method
refunds,refund_status
refunds,refund_provider_transaction_id
refunds,refunded_at
refunds,estimated_arrival_date
refunds,created_at
refunds,updated_at
review_stats,stat_id
review_stats,review_id
review_stats,helpful_count
review_stats,report_count
review_stats,view_count
review_stats,created_at
review_stats,updated_at
user_profiles,profile_id
user_profiles,user_id
user_profiles,profile_photo_url
user_profiles,bio
user_profiles,location
user_profiles,languages
user_profiles,work
user_profiles,school
user_profiles,emergency_contact_name
user_profiles,emergency_contact_phone
user_profiles,government_id_provided
user_profiles,created_at
user_profiles,updated_at
verifications,verification_id
verifications,user_id
verifications,verification_type
verifications,verification_code
verifications,status
verifications,verified_at
verifications,expires_at
verifications,created_at
